RowIndex,Temperature,B,G,R
0,5.00,64.67,5.44,0.44
1,5.26,65.56,6.44,0.56
2,5.52,67.22,6.44,0.56
3,5.78,67.22,6.44,0.44
4,6.03,69.89,7.33,0.56
5,6.29,77.56,11.78,0.89
6,6.55,79.22,14.33,0.89
7,6.81,82.78,16.89,0.89
8,7.07,86.22,18.78,1.11
9,7.33,95.78,28.33,1.44
10,7.59,99.33,31.00,1.67
11,7.84,103.56,33.56,1.67
12,8.10,107.11,36.22,1.89
13,8.36,113.11,41.44,2.11
14,8.62,118.33,44.11,2.11
15,8.88,120.89,45.89,2.33
16,9.14,123.44,47.67,2.33
17,9.40,128.67,49.44,2.44
18,9.66,132.89,52.11,2.67
19,9.91,136.33,54.67,2.67
20,10.17,139.78,56.44,2.67
21,10.43,145.78,60.00,2.89
22,10.69,149.22,60.89,2.89
23,10.95,151.78,62.56,3.00
24,11.21,158.56,66.11,3.11
25,11.47,164.67,69.67,3.33
26,11.72,166.33,69.67,3.33
27,11.98,170.56,71.44,3.56
28,12.24,171.56,73.22,3.56
29,12.50,179.22,78.44,3.78
30,12.76,181.89,80.11,3.78
31,13.02,182.78,81.11,3.78
32,13.28,186.11,82.00,3.89
33,13.53,190.44,85.56,4.11
34,13.79,191.44,87.22,4.22
35,14.05,194.00,89.89,4.33
36,14.31,194.89,90.78,4.44
37,14.57,195.00,94.22,4.44
38,14.83,195.22,96.89,4.67
39,15.09,194.44,98.56,4.56
40,15.34,193.67,100.33,4.78
41,15.60,190.44,103.00,4.89
42,15.86,188.00,104.67,5.00
43,16.12,94.22,53.89,5.00
44,16.38,178.11,108.11,5.22
45,16.64,168.22,110.67,5.22
46,16.90,164.11,111.56,5.44
47,17.16,159.11,112.44,5.44
48,17.41,147.44,114.11,5.67
49,17.67,137.56,116.78,6.78
50,17.93,130.11,117.67,6.78
51,18.19,122.67,119.33,9.33
52,18.45,116.89,120.22,13.56
53,18.71,92.22,124.67,25.44
54,18.97,85.67,127.33,30.56
55,19.22,79.11,128.33,36.56
56,19.48,70.89,130.89,41.78
57,19.74,56.22,136.22,54.56
58,20.00,49.67,137.22,61.33
59,20.26,44.78,139.00,66.44
60,20.52,40.78,141.67,73.33
61,20.78,30.33,145.33,83.56
62,21.03,27.11,147.11,88.78
63,21.29,22.22,148.89,93.89
64,21.55,19.89,151.56,99.89
65,21.81,15.89,155.11,110.11
66,22.07,16.11,156.11,115.22
67,22.33,11.22,158.67,120.33
68,22.59,9.67,159.67,125.56
69,22.84,8.89,163.22,135.78
70,23.10,9.11,164.22,140.11
71,23.36,9.11,166.11,144.33
72,23.62,9.33,167.78,149.44
73,23.88,9.33,169.67,156.33
74,24.14,9.44,171.44,161.56
75,24.40,9.56,172.44,166.67
76,24.66,9.67,173.33,169.22
77,24.91,9.78,175.22,178.56
78,25.17,10.00,177.00,182.00
79,25.43,10.00,177.11,186.22
80,25.69,10.11,178.00,188.78
81,25.95,10.22,178.89,194.78
82,26.21,10.44,179.00,197.33
83,26.47,10.44,179.00,199.00
84,26.72,10.67,179.11,201.56
85,26.98,10.67,179.11,205.78
86,27.24,10.67,179.11,207.44
87,27.50,10.67,89.33,105.33
88,27.76,10.67,88.89,107.11
89,28.02,11.67,178.33,214.22
90,28.28,10.78,176.67,214.89
91,28.53,10.67,174.89,214.89
92,28.79,11.56,174.11,218.22
93,29.05,14.00,172.33,218.22
94,29.31,13.22,173.22,220.78
95,29.57,13.11,170.56,220.56
96,29.83,14.78,169.78,222.22
97,30.09,13.11,168.11,222.22
98,30.34,13.78,166.33,223.11
99,30.60,14.56,164.56,223.00
100,30.86,16.11,161.11,223.00
101,31.12,17.78,160.22,223.22
102,31.38,17.67,157.67,223.00
103,31.64,18.44,155.89,223.00
104,31.90,20.78,150.78,222.89
105,32.16,20.56,148.11,222.78
106,32.41,21.33,146.33,222.67
107,32.67,23.78,144.67,222.67
108,32.93,23.67,142.00,222.56
109,33.19,22.78,138.56,222.44
110,33.45,24.22,135.89,222.33
111,33.71,25.78,132.44,222.22
112,33.97,28.00,125.44,221.89
113,34.22,29.44,122.00,221.89
114,34.48,29.44,122.00,221.89
115,34.74,32.67,118.56,221.78
116,35.00,33.89,108.89,221.22
117,35.26,36.22,103.67,221.22
118,35.52,35.89,98.44,220.89
119,35.78,37.44,93.22,220.78
120,36.03,39.78,88.89,220.56
121,36.29,40.33,84.56,220.44
122,36.55,43.56,81.11,220.33
123,36.81,43.33,75.78,220.00
124,37.07,45.44,67.11,219.56
125,37.33,48.67,63.67,219.44
126,37.59,51.11,61.11,219.56
127,37.84,51.11,61.11,219.56
128,38.10,53.22,54.89,219.11
129,38.36,53.11,52.22,219.00
130,38.62,55.56,49.78,218.89
131,38.88,56.33,48.78,218.78
132,39.14,57.89,46.22,218.67
133,39.40,29.89,24.44,114.89
134,39.66,60.44,47.11,218.67
135,39.91,61.22,45.33,218.67
136,40.17,64.56,45.44,218.56
137,40.43,65.44,47.11,218.56
138,40.69,69.67,49.67,218.67
139,40.95,69.67,49.78,218.67
140,41.21,74.11,53.22,218.89
141,41.47,76.67,55.89,219.11
142,41.72,78.56,58.56,219.11
143,41.98,80.33,62.00,219.22
144,42.24,83.00,67.22,219.44
145,42.50,84.11,71.56,219.56
146,42.76,84.11,71.56,219.56
147,43.02,88.56,76.89,219.78
148,43.28,91.33,85.56,220.22
149,43.53,92.44,89.89,220.33
150,43.79,95.89,93.44,220.56
151,44.05,97.00,97.78,220.78
152,44.31,99.67,101.33,221.00
153,44.57,102.44,106.56,221.33
154,44.83,102.56,110.00,221.44
155,45.09,106.11,113.56,221.56
156,45.34,110.67,121.56,222.00
157,45.60,113.33,125.89,222.22
158,45.86,116.11,129.44,222.33
159,46.12,116.11,129.44,222.33
160,46.38,120.67,138.11,222.78
161,46.64,124.11,141.67,222.89
162,46.90,126.11,147.67,223.11
163,47.16,130.44,153.00,223.44
164,47.41,136.67,160.89,223.78
165,47.67,136.67,160.89,223.78
166,47.93,140.22,165.22,223.89
167,48.19,142.89,168.78,224.11
168,48.45,151.67,178.33,224.56
169,48.71,155.22,182.67,224.67
170,48.97,158.67,185.33,224.78
171,49.22,162.22,188.89,225.00
172,49.48,165.67,191.56,225.00
173,49.74,167.56,194.22,225.22
174,50.00,172.67,198.44,225.33
