Photo,Timestamp,Estimated Temperature Point 1 (C),Estimated Temperature Point 2 (C),Estimated Temperature Point 3 (C),Estimated Temperature Point 4 (C),Estimated Temperature Point 5 (C)
image_000.png,2025-03-04 12:35:51,15.09,16.90,15.34,15.34,15.09
image_001.png,2025-03-04 12:35:53,15.09,16.64,15.34,15.09,15.09
image_002.png,2025-03-04 12:35:55,15.09,16.64,15.34,15.09,15.09
image_003.png,2025-03-04 12:35:57,15.09,16.64,15.34,15.09,15.09
image_004.png,2025-03-04 12:35:59,15.09,16.64,15.34,15.09,15.09
image_005.png,2025-03-04 12:36:01,15.09,16.64,15.09,15.09,15.09
image_006.png,2025-03-04 12:36:03,15.09,16.64,15.34,15.09,15.09
image_007.png,2025-03-04 12:36:05,15.09,16.64,15.34,15.34,15.09
image_008.png,2025-03-04 12:36:07,15.09,16.64,15.34,15.09,15.09
image_009.png,2025-03-04 12:36:09,15.09,16.64,15.34,15.09,15.09
image_010.png,2025-03-04 12:36:12,15.09,16.64,15.09,15.09,15.09
image_011.png,2025-03-04 12:36:14,15.09,16.64,15.34,15.09,15.09
image_012.png,2025-03-04 12:36:16,15.09,16.64,15.34,15.09,15.09
image_013.png,2025-03-04 12:36:18,15.09,16.64,15.09,15.09,15.09
image_014.png,2025-03-04 12:36:20,15.09,16.64,15.09,15.09,15.09
